Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2015-10-01,M,33.9953,-118.2674,Hispanic
2015-03-29,F,34.1962,-118.4596,White
2018-01-29,F,34.2748,-118.4492,Hispanic
2015-08-11,M,34.0503,-118.247,Hispanic
2016-03-30,F,34.232,-118.5623,White
2017-04-11,M,34.1776,-118.379,Hispanic
2018-11-25,F,34.0149,-118.3536,Hispanic
2018-08-21,M,34.3009,-118.4696,Hispanic
2010-10-29,F,34.2047,-118.6029,Hispanic
2016-04-04,F,34.0818,-118.2609,Hispanic
2011-12-18,F,33.9727,-118.2827,Black
2016-05-31,M,34.0962,-118.1568,Hispanic
2016-04-21,M,34.257,-118.4273,Hispanic
2015-05-01,M,33.7796,-118.2689,Hispanic
2016-01-05,F,34.187,-118.6015,Hispanic
2011-08-29,F,34.0588,-118.4439,White
2018-01-05,M,33.9492,-118.2739,Other/Unknown
2016-04-03,M,34.0315,-118.2322,White
2012-02-26,F,34.0441,-118.2853,Hispanic
2019-04-17,M,34.1722,-118.379,Black
2017-11-26,F,34.0777,-118.2868,White
2017-01-24,M,34.098,-118.3267,Hispanic
2019-11-11,M,34.0799,-118.3004,White
2012-04-19,M,33.9556,-118.2651,Hispanic
2010-09-27,F,34.0294,-118.3439,Hispanic
2018-05-10,M,33.9723,-118.2564,Hispanic
2016-11-04,M,34.2682,-118.4193,Hispanic
2010-05-06,M,34.0256,-118.3089,Hispanic
2011-02-15,F,34.0273,-118.3024,Hispanic
2016-11-02,F,34.2355,-118.5623,White
2018-08-02,M,34.0346,-118.2323,Hispanic
2010-12-17,F,34.0525,-118.4432,White
2016-03-18,F,34.0762,-118.3236,Other/Unknown
2011-11-26,M,33.9933,-118.4765,White
2017-01-10,M,33.9746,-118.3286,Black
2015-01-05,F,34.0485,-118.3392,Hispanic
2012-10-28,M,34.1734,-118.536,White
2019-06-03,M,34.0449,-118.2458,Hispanic
2014-01-17,M,34.1635,-118.44,White
2019-08-30,M,34.1958,-118.5666,White
2016-09-23,M,33.9629,-118.2651,Black
2016-04-14,F,34.0082,-118.2716,Hispanic
2010-06-16,F,34.0483,-118.4918,White
2015-01-18,M,33.9601,-118.2782,Hispanic
2014-11-02,F,34.2011,-118.536,Hispanic
2013-06-21,M,34.2246,-118.5798,White
2019-06-03,X,34.1301,-118.2353,Other/Unknown
2010-10-15,F,34.0184,-118.2977,Black
2018-08-23,M,34.0609,-118.2824,Hispanic
2010-11-18,M,34.0251,-118.2392,Hispanic
2015-11-25,M,34.0425,-118.3818,Black
2015-09-13,M,34.0922,-118.2226,Hispanic
2013-06-05,M,33.7566,-118.307,White
2017-11-09,M,34.0648,-118.2696,Other/Unknown
2010-12-09,M,34.1431,-118.4008,Hispanic
2018-08-09,M,33.982,-118.408,Asian
2014-02-14,M,33.9523,-118.3906,Hispanic
2014-10-14,F,34.1867,-118.4487,Hispanic
2016-10-17,M,34.0904,-118.2354,White
2012-04-16,M,34.1939,-118.5448,Other/Unknown
2014-11-21,F,34.1121,-118.3331,White
2017-02-25,F,34.0173,-118.22,Hispanic
2018-05-24,F,34.1974,-118.6059,White
2012-12-13,F,34.2282,-118.5623,Black
2010-06-07,F,34.201,-118.5977,White
2017-04-13,F,34.2358,-118.5069,White
2015-04-05,M,34.1039,-118.2365,Hispanic
2014-11-18,M,33.9739,-118.2564,White
2018-05-26,M,34.0111,-118.2774,Hispanic
2017-07-29,M,34.0856,-118.3115,Other/Unknown
2012-07-28,M,33.9483,-118.2739,Black
2018-06-09,M,34.015,-118.2515,Hispanic
2018-10-10,M,33.9401,-118.2608,Other/Unknown
2010-03-12,M,34.0618,-118.2929,Black
2016-11-27,M,34.1957,-118.6421,Hispanic
2013-07-08,M,34.0278,-118.4286,White
2011-11-17,M,34.1097,-118.3169,White
