Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2019-10-08,M,0605 3101 3401 3701 3008 3026 3036 3801,34.0699,-118.2777,Asian
2019-11-27,M,1402 0907 1300 3101 3401 3701 3006 3801,33.9765,-118.2739,Black
2019-10-05,M,3036 3101 3401 3701 3004 3801,34.0565,-118.2768,Hispanic
2019-10-04,M,1402 2002 3101 3401 3701 3801 3006 3036,34.0559,-118.28,Hispanic
2019-12-02,M,3101 3401 3701 3004 3036 3801,34.0534,-118.2409,Hispanic
2019-11-22,M,3101 3401 3701 3004 3801,34.1037,-118.2733,White
2019-10-13,M,0605 3101 3401 3701 3006 3026 3801,34.0576,-118.2598,Hispanic
2019-10-18,F,0605 3101 3401 3701 3004 3801,34.0267,-118.1985,Hispanic
2019-10-20,M,0605 3101 3401 3701 3004 3036 3801,34.0364,-118.2023,Hispanic
2019-10-19,M,0605 3101 3401 3701 3004 3036 3801,34.0633,-118.2738,Hispanic
2019-10-25,M,0605 3101 3401 3701 3003 3801 3027,34.0752,-118.2649,Hispanic
2019-12-12,M,3101 3401 3701 3006 3801 3602,34.0491,-118.2558,Black
2019-12-15,M,3101 3401 3701 3026 3801 4025,34.1043,-118.1977,Other/Unknown
2019-12-16,M,3101 3401 3701 3004 3002 3034 3602 3801,34.0774,-118.265,Hispanic
2019-12-21,M,3101 3401 3701 3004 3801 3032 0605,34.0721,-118.2213,Black
2019-12-14,M,3101 3401 3701 3004 3025 3602 3801,34.0737,-118.2144,Hispanic
2019-10-27,F,3101 3401 3701 3004 3801 3036 0605,34.0476,-118.2477,Black
2019-10-25,F,2002 3101 3401 3701 3004 3602 3801,34.0598,-118.2734,Hispanic
2019-10-28,M,0605 3101 3401 3701 3006 3025 3801,34.0533,-118.2829,Hispanic
2019-10-20,M,3101 3401 3701 3006 3602 3801,33.9922,-118.2521,Hispanic
2019-10-23,M,3101 3401 3701 3006 3602 3801,34.028,-118.2322,Hispanic
2019-10-31,M,3101 3401 3701 3011 3034 3602 3801 3025,33.9898,-118.2701,Hispanic
2017-04-18,M,3101 3401 3701 3004 3025 3801,34.1036,-118.2371,Other/Unknown
2019-11-03,F,3101 3401 3701 3004 3026 3801,34.0458,-118.2614,Black
2019-10-27,M,2002 3401 0605 3101 3701 3006 3801,34.0398,-118.2838,Hispanic
2019-11-02,M,3101 3401 3701 3006 3801 1402,34.1026,-118.2455,Hispanic
2019-11-04,M,3012 0605 3101 3401 3701 3024 3034 3801,34.0302,-118.2452,Hispanic
2019-11-06,F,3101 3401 3701 3011 3034 3801,34.0657,-118.2494,Black
2019-11-03,M,3801 3101 3401 3701 3004 3034 3026 3602,34.0468,-118.2641,Hispanic
2019-10-30,M,0605 3101 3401 3701 3004 3026 3602 3801 3036,34.0285,-118.2031,Hispanic
2019-11-06,M,3101 3401 3701 3006 3801,34.0196,-118.2624,Hispanic
2019-11-02,M,3101 3401 3701 3006 3801,34.0832,-118.2572,Other/Unknown
2019-11-06,M,3101 3401 3701 3006 3801 1402,34.0196,-118.2624,Hispanic
2019-11-12,M,3101 3401 3701 3004 3036 3801,34.0806,-118.2616,Other/Unknown
2019-11-10,M,3101 3401 3701 3006 3801 3602,34.0592,-118.2674,Other/Unknown
2019-11-11,F,3101 3401 3701 3006 3026 3801,34.1097,-118.2709,White
2019-11-11,M,3101 3401 3701 3006 3801 1402 0605,34.0881,-118.1875,Hispanic
2019-11-10,M,3101 3401 3701 3004 3801,33.9965,-118.2783,Hispanic
2019-12-21,M,0605 3101 3401 3701 3801 3004 3026 3036,34.0319,-118.2594,Hispanic
2019-12-25,M,0605 3101 3401 3701 3011 3025 3801,34.0627,-118.2463,Asian
2019-12-28,M,1402 0605 3101 3401 3701 3004 3801,33.9824,-118.2802,Hispanic
2018-11-20,M,3025 1419 1407 3101 3401 3701 3602 3801 3011 3034,34.0245,-118.2505,Hispanic
2019-11-08,M,3101 3401 3701 3004 3026 3036 3602 3801,34.0404,-118.2822,Hispanic
2019-11-17,M,3101 3401 3701 3004 3026 3801,34.0406,-118.2117,Hispanic
2019-11-23,M,3101 3401 3701 3006 3801,34.0273,-118.263,Hispanic
2017-12-22,F,0605 3101 3401 3701 3004 3026 3036 3801,34.0843,-118.2743,Hispanic
2019-12-24,M,0605 3101 3401 3701 3004 3025 3036 3801,34.1179,-118.2451,Hispanic
2019-12-26,M,0605 3101 3401 3701 3004 3026 3029 3036 3801,34.0286,-118.2206,Hispanic
2019-12-30,M,0605 3101 3401 3701 3004 3801,33.9925,-118.2609,Hispanic
2019-12-31,M,0605 3101 3401 3701 3004 3026 3801 1300,34.0111,-118.2789,Hispanic
2019-12-25,M,0605 3101 3401 3701 3801 3006,33.9892,-118.2783,Black
2019-12-13,M,3101 3401 3701 3006 3602 3801,34.0011,-118.2805,Hispanic
2015-10-07,M,3101 3401 3701 3006 3801,34.078,-118.2602,White
2015-08-31,F,3101 3401 3701 3004 3026 3801,34.1207,-118.1964,White
2016-01-31,F,3101 3401 3701 3004 3029 3026 3801,34.0517,-118.2798,Black
2016-01-31,F,3101 3401 3701 3006 3030 3801,34.0506,-118.2769,Hispanic
2016-02-20,M,3101 3401 3701 3006 3801,34.133,-118.202,White
2019-09-22,M,3101 3401 3701 3006 3030 3602 3801,34.093,-118.1636,Other/Unknown
2019-07-15,F,1402 0605 3101 3401 3701 3008 3025 3801,34.0243,-118.2419,Black
2019-05-11,M,3101 3401 3701 3003 3024 3032 3801,34.0635,-118.2356,Hispanic
2019-05-12,F,3101 3401 3701 3006 3801,34.0481,-118.2712,Hispanic
2019-05-12,M,3101 3401 3701 3006 3801,34.0407,-118.1939,Hispanic
2019-05-12,M,3101 3401 3701 3004 3026 3801,34.0835,-118.26,Hispanic
2019-03-14,M,3101 3401 3701 3004 3030 3801 1300,33.9893,-118.2564,Hispanic
2019-05-11,M,3101 3401 3701 3006 3801,34.0224,-118.2486,Hispanic
2019-05-11,M,3101 3401 3701 3006 3026 3801,34.0039,-118.2588,Hispanic
2019-05-14,M,3101 3401 3701 3004 3026 3029 3801,33.9994,-118.2499,Hispanic
2019-05-14,M,3101 3401 3701 3004 3801 3026,33.9857,-118.2628,Hispanic
2019-05-12,M,3101 3401 3701 3006 3034 3801,34.1092,-118.2714,Other/Unknown
2019-05-19,M,3101 3401 3701 3004 3801 2002,34.0791,-118.2917,Hispanic
2019-05-18,M,3101 3401 3701 3004 3026 3602 3801 3036,33.9994,-118.2387,Hispanic
2019-05-19,F,3101 3401 3701 3004 3801 3036 1501,34.053,-118.2548,Hispanic
2019-05-19,M,3101 3401 3701 3006 3801,34.0272,-118.2685,Hispanic
